,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
30,세화복우동,2022-03-02,영업,제주특별자치도 제주시 구좌읍 세화리 1413-4,"제주특별자치도 제주시 구좌읍 구좌로 62, 1층","세화복우동 제주특별자치도 제주시 구좌읍 구좌로 62, 1층",세화리 1413-4,"구좌로 62,",126.857595034,33.522458301
31,봉덕,2022-02-21,영업,제주특별자치도 제주시 구좌읍 월정리 26,"제주특별자치도 제주시 구좌읍 월정7길 28-21, 1층","봉덕 제주특별자치도 제주시 구좌읍 월정7길 28-21, 1층",월정리 26,"월정7길 28-21,",126.797397476,33.554865749
32,뚝앤박,2022-03-16,영업,제주특별자치도 제주시 구좌읍 종달리 1793-3,"제주특별자치도 제주시 구좌읍 종달로 46-1, 1층","뚝앤박 제주특별자치도 제주시 구좌읍 종달로 46-1, 1층",종달리 1793-3,"종달로 46-1,",126.896315588,33.493796271
33,월정조용한카페앤펍,2022-03-11,영업,제주특별자치도 제주시 구좌읍 월정리 600,"제주특별자치도 제주시 구좌읍 월정1길 64-1, 1층","월정조용한카페앤펍 제주특별자치도 제주시 구좌읍 월정1길 64-1, 1층",월정리 600,"월정1길 64-1,",126.793621396,33.556255885
34,계절맛집,2022-02-03,영업,제주특별자치도 제주시 구좌읍 세화리 1426-1,"제주특별자치도 제주시 구좌읍 세화2길 13, 1층","계절맛집 제주특별자치도 제주시 구좌읍 세화2길 13, 1층",세화리 1426-1,"세화2길 13,",126.856269083,33.522463616
35,로로,2022-03-28,영업,제주특별자치도 제주시 구좌읍 월정리 33,"제주특별자치도 제주시 구좌읍 해맞이해안로 480-1, 1~2층 112호","로로 제주특별자치도 제주시 구좌읍 해맞이해안로 480-1, 1~2층 112호",월정리 33,"해맞이해안로 480-1,",126.798161213,33.554509606
36,승승국수,2023-06-09,영업,제주특별자치도 제주시 구좌읍 종달리 844,"제주특별자치도 제주시 구좌읍 종달로5길 25-2, 1층","승승국수 제주특별자치도 제주시 구좌읍 종달로5길 25-2, 1층",종달리 844,"종달로5길 25-2,",126.898776033,33.493514542
37,블랑쉬카페앤편의점,2023-06-09,영업,제주특별자치도 제주시 구좌읍 하도리 1870,"제주특별자치도 제주시 구좌읍 별방길 109, 1층 201호","블랑쉬카페앤편의점 제주특별자치도 제주시 구좌읍 별방길 109, 1층 201호",하도리 1870,"별방길 109,",126.878590026,33.527929813
38,늘푸른솔밭골,2023-06-08,영업,제주특별자치도 제주시 구좌읍 평대리 515-2,"제주특별자치도 제주시 구좌읍 해맞이해안로 1240-1, 1층","늘푸른솔밭골 제주특별자치도 제주시 구좌읍 해맞이해안로 1240-1, 1층",평대리 515-2,"해맞이해안로 1240-1,",126.846172657,33.532570576
39,면수동흑돼지,2022-01-04,영업,제주특별자치도 제주시 구좌읍 하도리 3359-48,"제주특별자치도 제주시 구좌읍 면수길 49-4, 1층","면수동흑돼지 제주특별자치도 제주시 구좌읍 면수길 49-4, 1층",하도리 3359-48,"면수길 49-4,",126.864746828,33.524862357
40,동복분식원드랍커피,2022-01-13,영업,제주특별자치도 제주시 구좌읍 동복리 1397,"제주특별자치도 제주시 구좌읍 동복로 68-1, 1층","동복분식원드랍커피 제주특별자치도 제주시 구좌읍 동복로 68-1, 1층",동복리 1397,"동복로 68-1,",126.713372245,33.552854055
41,삐뚤어진지구,2022-01-20,영업,제주특별자치도 제주시 구좌읍 송당리 1375-3,"제주특별자치도 제주시 구좌읍 중산간동로 2264, 2층","삐뚤어진지구 제주특별자치도 제주시 구좌읍 중산간동로 2264, 2층",송당리 1375-3,"중산간동로 2264,",126.784421931,33.471304721
42,모멘터리커피,2022-01-19,영업,제주특별자치도 제주시 구좌읍 김녕리 1241-1,"제주특별자치도 제주시 구좌읍 김녕로17길 14, 1층","모멘터리커피 제주특별자치도 제주시 구좌읍 김녕로17길 14, 1층",김녕리 1241-1,"김녕로17길 14,",126.753723282,33.556452925
43,하도미술관,2021-01-19,영업,제주특별자치도 제주시 구좌읍 하도리 1091-60,"제주특별자치도 제주시 구좌읍 하도13길 25, 1층","하도미술관 제주특별자치도 제주시 구좌읍 하도13길 25, 1층",하도리 1091-60,"하도13길 25,",126.889154204,33.510209054
