store_name,date,visits
마라도해녀촌연동점,2020-03-14,1
마라도해녀촌연동점,2020-03-28,1
마라도해녀촌연동점,2020-05-02,1
마라도해녀촌연동점,2020-05-09,1
마라도해녀촌연동점,2020-05-16,1
마라도해녀촌연동점,2020-07-18,1
마라도해녀촌연동점,2020-07-25,1
마라도해녀촌연동점,2020-09-19,2
마라도해녀촌연동점,2020-10-31,1
마라도해녀촌연동점,2021-02-20,1
마라도해녀촌연동점,2021-09-18,1
마라도해녀촌연동점,2021-11-06,1
돈짬화북점,2021-04-17,1
하도미술관,2020-05-16,1
하도미술관,2020-07-04,1
하도미술관,2020-07-18,2
하도미술관,2020-09-19,1
하도미술관,2020-10-10,1
하도미술관,2020-10-24,1
하도미술관,2020-11-28,2
하도미술관,2021-03-06,1
오는곳세화,2020-01-04,1
대장금,2020-11-21,1
대장금,2021-05-22,1
우도수산,2021-08-14,1
사계진미제주시청점,2020-05-16,1
사계진미제주시청점,2020-09-12,1
사계진미제주시청점,2021-06-26,1
밀당제주,2021-11-20,1
숙성도함덕점,2021-05-22,2
숙성도함덕점,2021-10-09,1
마일스,2020-09-19,1
서가식당,2020-04-18,1
소수의견,2020-11-21,2
소수의견,2021-05-15,1
떡보킹앤빙수킹신제주점,2020-01-11,1
어머니국수맛,2020-08-29,1
어머니국수맛,2021-06-05,1
어머니국수맛,2021-10-23,1
아임유어,2020-01-04,14
아임유어,2020-01-11,6
아임유어,2020-01-18,12
아임유어,2020-01-25,4
아임유어,2020-03-07,4
아임유어,2020-03-14,8
아임유어,2020-03-21,9
아임유어,2020-03-28,6
아임유어,2020-04-04,5
아임유어,2020-04-11,7
아임유어,2020-04-18,8
아임유어,2020-04-25,11
아임유어,2020-05-02,8
아임유어,2020-05-09,15
아임유어,2020-05-16,5
아임유어,2020-05-23,10
아임유어,2020-05-30,10
아임유어,2020-07-04,13
아임유어,2020-07-11,13
아임유어,2020-07-18,12
아임유어,2020-07-25,17
아임유어,2020-08-01,18
아임유어,2020-08-08,10
아임유어,2020-08-22,20
아임유어,2020-08-29,10
아임유어,2020-09-05,12
아임유어,2020-09-12,10
아임유어,2020-09-19,22
아임유어,2020-09-26,17
아임유어,2020-10-03,12
아임유어,2020-10-10,23
아임유어,2020-10-17,17
아임유어,2020-10-24,14
아임유어,2020-10-31,15
아임유어,2020-11-07,19
아임유어,2020-11-14,15
아임유어,2020-11-21,30
아임유어,2020-11-28,23
아임유어,2020-12-12,24
아임유어,2020-12-19,15
아임유어,2021-02-06,24
아임유어,2021-02-20,26
아임유어,2021-02-27,25
아임유어,2021-03-06,14
아임유어,2021-03-13,22
아임유어,2021-03-27,25
아임유어,2021-04-03,27
아임유어,2021-04-10,31
아임유어,2021-04-17,27
아임유어,2021-04-24,33
아임유어,2021-05-01,25
아임유어,2021-05-08,27
아임유어,2021-05-15,14
아임유어,2021-05-22,26
아임유어,2021-06-05,25
아임유어,2021-06-19,24
아임유어,2021-06-26,29
아임유어,2021-07-03,19
아임유어,2021-07-10,16
아임유어,2021-07-17,15
아임유어,2021-07-24,17
아임유어,2021-08-07,22
아임유어,2021-08-14,21
아임유어,2021-08-21,16
아임유어,2021-08-28,20
아임유어,2021-09-04,15
아임유어,2021-09-11,17
아임유어,2021-09-18,17
아임유어,2021-09-25,21
아임유어,2021-10-02,19
아임유어,2021-10-09,19
아임유어,2021-10-16,20
아임유어,2021-10-23,17
아임유어,2021-10-30,25
아임유어,2021-11-06,16
아임유어,2021-11-13,13
아임유어,2021-11-20,17
아임유어,2021-11-27,12
아임유어,2021-12-04,20
아임유어,2021-12-11,12
아임유어,2021-12-18,10
아임유어,2021-12-25,19
골든에스,2021-04-17,1
샹웨이,2020-04-04,1
아바,2020-03-14,1
아바,2020-07-11,1
아바,2020-11-28,1
아바,2021-04-03,1
아바,2021-08-14,1
좋은식탁,2020-12-12,1
좋은식탁,2021-02-07,1
