,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
3246,요망진브릭,2020-01-30,영업,제주특별자치도 서귀포시 안덕면 화순리 2021번지,"제주특별자치도 서귀포시 안덕면 산방로 75-3, A동 1층",요망진브릭  서귀포시 안덕면 산방로 75-3, 서귀포시 안덕면 화순리 2021번지, 서귀포시 안덕면 산방로 75-3,126.324957058,33.242027156
3247,제주흑돈만두강정점,2020-01-30,영업,제주특별자치도 서귀포시 강정동 4401-4번지,제주특별자치도 서귀포시 이어도로 578-1 (강정동),제주흑돈만두강정점  서귀포시 이어도로 578-1 (강정동), 서귀포시 강정동 4401-4번지, 서귀포시 이어도로 578-1 (강정동),126.478428612,33.235913762
3248,세븐일레븐태흥리점,2020-03-26,영업,제주특별자치도 서귀포시 남원읍 태흥리 257-3번지,"제주특별자치도 서귀포시 남원읍 일주동로 6793, 1층",세븐일레븐태흥리점  서귀포시 남원읍 일주동로 6793, 서귀포시 남원읍 태흥리 257-3번지, 서귀포시 남원읍 일주동로 6793,126.753340256,33.290367118
3249,루페이퍼,2020-01-23,영업,제주특별자치도 서귀포시 대정읍 신도리 1414-3번지,제주특별자치도 서귀포시 대정읍 서삼중로 217,루페이퍼  서귀포시 대정읍 서삼중로 217, 서귀포시 대정읍 신도리 1414-3번지, 서귀포시 대정읍 서삼중로 217,126.191670975,33.277297727
3250,청춘당꽈배기서부점,2020-01-23,영업,제주특별자치도 서귀포시 안덕면 동광리 810번지,"제주특별자치도 서귀포시 안덕면 신화역사로 502, 1층",청춘당꽈배기서부점  서귀포시 안덕면 신화역사로 502, 서귀포시 안덕면 동광리 810번지, 서귀포시 안덕면 신화역사로 502,126.341277606,33.309997080
3251,세븐일레븐서귀포상예동점,2020-03-02,영업,제주특별자치도 서귀포시 상예동 3667-1,제주특별자치도 서귀포시 일주서로 1229 (상예동),세븐일레븐서귀포상예동점  서귀포시 일주서로 1229 (상예동), 서귀포시 상예동 3667-1, 서귀포시 일주서로 1229 (상예동),126.381843931,33.263912117
3252,초가인,2020-03-04,영업,제주특별자치도 서귀포시 표선면 성읍리 1430-7번지,제주특별자치도 서귀포시 표선면 중산간동로 4710-1,초가인  서귀포시 표선면 중산간동로 4710-1, 서귀포시 표선면 성읍리 1430-7번지, 서귀포시 표선면 중산간동로 4710-1,126.794520173,33.386477612
3253,제주설심당동홍점,2020-03-25,영업,제주특별자치도 서귀포시 동홍동 450-20번지 1층,"제주특별자치도 서귀포시 문부로 2, 1층 (동홍동)",제주설심당동홍점  서귀포시 문부로 2, 서귀포시 동홍동 450-20번지 1층, 서귀포시 문부로 2,126.567953723,33.251900935
3254,제주커피,2020-03-31,영업,제주특별자치도 서귀포시 성산읍 수산리 1048번지,"제주특별자치도 서귀포시 성산읍 서성일로 913, 1층",제주커피  서귀포시 성산읍 서성일로 913, 서귀포시 성산읍 수산리 1048번지, 서귀포시 성산읍 서성일로 913,126.877383179,33.439856191
3255,제주담은제주선물가게,2021-12-13,영업,제주특별자치도 서귀포시 성산읍 고성리 352-52,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 116,제주담은제주선물가게  서귀포시 성산읍 섭지코지로25번길 116, 서귀포시 성산읍 고성리 352-52, 서귀포시 성산읍 섭지코지로25번길 116,126.920118008,33.448633487
3256,아이센스리그PC방중문본점,2021-12-10,영업,제주특별자치도 서귀포시 중문동 2059-7,,아이센스리그PC방중문본점 None, 서귀포시 중문동 2059-7,,0,0
3257,인더오조,2021-12-10,영업,제주특별자치도 서귀포시 성산읍 오조리 325-1,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2768, 나동",인더오조  서귀포시 성산읍 해맞이해안로 2768, 서귀포시 성산읍 오조리 325-1, 서귀포시 성산읍 해맞이해안로 2768,126.920268278,33.469180334
3258,씨유표선가마리점,2021-12-10,영업,제주특별자치도 서귀포시 표선면 세화리 133-1,"제주특별자치도 서귀포시 표선면 일주동로 6211, 1층",씨유표선가마리점  서귀포시 표선면 일주동로 6211, 서귀포시 표선면 세화리 133-1, 서귀포시 표선면 일주동로 6211,126.808179358,33.307296342
3259,메가엠지씨커피제주표선점,2021-12-16,영업,제주특별자치도 서귀포시 표선면 표선리 604,제주특별자치도 서귀포시 표선면 표선동서로 252,메가엠지씨커피제주표선점  서귀포시 표선면 표선동서로 252, 서귀포시 표선면 표선리 604, 서귀포시 표선면 표선동서로 252,126.833118282,33.326241770
3260,"코삿,서귀포",2021-12-24,영업,제주특별자치도 서귀포시 서귀동 483-7,제주특별자치도 서귀포시 중앙로4번길 15-1 (서귀동),"코삿,서귀포  서귀포시 중앙로4번길 15-1 (서귀동)", 서귀포시 서귀동 483-7, 서귀포시 중앙로4번길 15-1 (서귀동),126.563620558,33.245326162
3261,바람코지머뭄센터신천다방,2021-12-31,영업,제주특별자치도 서귀포시 성산읍 신천리 466-5,제주특별자치도 서귀포시 성산읍 신천서로 4,바람코지머뭄센터신천다방  서귀포시 성산읍 신천서로 4, 서귀포시 성산읍 신천리 466-5, 서귀포시 성산읍 신천서로 4,126.849288020,33.344260608
3262,까미에루루(Camille et LouLou),2021-12-30,영업,제주특별자치도 서귀포시 호근동 1833-4,제주특별자치도 서귀포시 막동산로 11 (호근동),까미에루루(Camille et LouLou)  서귀포시 막동산로 11 (호근동), 서귀포시 호근동 1833-4, 서귀포시 막동산로 11 (호근동),126.524692527,33.256712517
3263,씨유성산고성점,2021-12-30,영업,제주특별자치도 서귀포시 성산읍 고성리 1471-3,제주특별자치도 서귀포시 성산읍 서성일로1222번길 2,씨유성산고성점  서귀포시 성산읍 서성일로1222번길 2, 서귀포시 성산읍 고성리 1471-3, 서귀포시 성산읍 서성일로1222번길 2,126.908743514,33.446471288
3264,루브린,2021-12-14,영업,제주특별자치도 서귀포시 남원읍 위미리 750,제주특별자치도 서귀포시 남원읍 태위로360번길 46,루브린  서귀포시 남원읍 태위로360번길 46, 서귀포시 남원읍 위미리 750, 서귀포시 남원읍 태위로360번길 46,126.684101044,33.272509941
3265,루씨쏜갤러리스튜디오,2020-03-30,영업,제주특별자치도 서귀포시 보목동 1405-1번지 지1층,"제주특별자치도 서귀포시 보목로64번길 138, 지1층 (보목동)",루씨쏜갤러리스튜디오  서귀포시 보목로64번길 138, 서귀포시 보목동 1405-1번지 지1층, 서귀포시 보목로64번길 138,126.593033812,33.241287605
3266,달페이지,2020-05-14,영업,제주특별자치도 서귀포시 색달동 2290-2번지,"제주특별자치도 서귀포시 색달로64번길 51, 1층 (색달동)",달페이지  서귀포시 색달로64번길 51, 서귀포시 색달동 2290-2번지, 서귀포시 색달로64번길 51,126.413933451,33.259758557
3267,씨유제주대정주공점,2020-05-14,영업,제주특별자치도 서귀포시 대정읍 하모리 1450번지 서귀포대정휴먼시아,"제주특별자치도 서귀포시 대정읍 하모중앙로 6, 1층 101호 (서귀포대정휴먼시아)",씨유제주대정주공점  서귀포시 대정읍 하모중앙로 6, 서귀포시 대정읍 하모리 1450번지 서귀포대정휴먼시아, 서귀포시 대정읍 하모중앙로 6,126.252299916,33.227726190
3268,카페아오오,2020-05-29,영업,"제주특별자치도 서귀포시 성산읍 신산리 420 1,2층","제주특별자치도 서귀포시 성산읍 환해장성로 75, 1,2층",카페아오오  서귀포시 성산읍 환해장성로 75, 서귀포시 성산읍 신산리 420 1, 서귀포시 성산읍 환해장성로 75,126.879958316,33.379091344
3269,카페홍리,2020-04-10,영업,제주특별자치도 서귀포시 동홍동 1780-1번지 2층,"제주특별자치도 서귀포시 지장샘로182번길 149, 2층 (동홍동)",카페홍리  서귀포시 지장샘로182번길 149, 서귀포시 동홍동 1780-1번지 2층, 서귀포시 지장샘로182번길 149,126.565015657,33.268306098
