Unnamed: 0,store_name,business_category,permission_date,situation,address,address_road,trans_ad,trans_ad_road,x,y,new_store_name
14817,모슬포에서,한식,2021-06-28,영업,제주특별자치도 서귀포시 대정읍 하모리 822-6,"제주특별자치도 서귀포시 대정읍 영서중로13번길 10, 1층 104호", 서귀포시 대정읍 하모리 822-6, 서귀포시 대정읍 영서중로13번길 10,126.254919669,33.221934083,모슬포에서  서귀포시 대정읍 영서중로13번길 10
14818,제주달빛좋은밤이태리포차,한식,2021-05-28,영업,제주특별자치도 서귀포시 대포동 830-1,제주특별자치도 서귀포시 대포복개로 94 (대포동), 서귀포시 대포동 830-1, 서귀포시 대포복개로 94 (대포동),126.434920072,33.246426337,제주달빛좋은밤이태리포차  서귀포시 대포복개로 94 (대포동)
14819,수란식당,한식,2021-05-28,영업,제주특별자치도 서귀포시 남원읍 남원리 52-2,"제주특별자치도 서귀포시 남원읍 태위로723번길 8-4, 1층", 서귀포시 남원읍 남원리 52-2, 서귀포시 남원읍 태위로723번길 8-4,126.723514155,33.280872606,수란식당  서귀포시 남원읍 태위로723번길 8-4
14820,마토네,"외국음식전문점(인도,태국등)",2021-05-28,영업,제주특별자치도 서귀포시 서홍동 2598 서강파인힐6차,"제주특별자치도 서귀포시 홍중로 119-2, 605동 502호 (서홍동, 서강파인힐6차)", 서귀포시 서홍동 2598 서강파인힐6차, 서귀포시 홍중로 119-2,126.555590473,33.263230373,마토네  서귀포시 홍중로 119-2
14821,제주회포장물회 횟집학개론,한식,2021-06-22,영업,제주특별자치도 서귀포시 대정읍 구억리 981,"제주특별자치도 서귀포시 대정읍 영어도시로 26, 1층", 서귀포시 대정읍 구억리 981, 서귀포시 대정읍 영어도시로 26,126.278787223,33.274846738,제주회포장물회 횟집학개론  서귀포시 대정읍 영어도시로 26
14822,불턱 버거클럽,한식,2021-06-22,영업,제주특별자치도 서귀포시 대포동 628-1,"제주특별자치도 서귀포시 일주서로570번길 1, 1층 (대포동)", 서귀포시 대포동 628-1, 서귀포시 일주서로570번길 1,126.448095671,33.253111352,불턱 버거클럽  서귀포시 일주서로570번길 1
14823,오태식해바라기치킨대정점,호프/통닭,2021-06-23,영업,제주특별자치도 서귀포시 대정읍 하모리 822-19,, 서귀포시 대정읍 하모리 822-19,,0.0,0.0,오태식해바라기치킨대정점 None
14824,단백,식육(숯불구이),2021-06-25,영업,제주특별자치도 서귀포시 성산읍 고성리 1197-7,"제주특별자치도 서귀포시 성산읍 고성동서로56번길 15, 2층", 서귀포시 성산읍 고성리 1197-7, 서귀포시 성산읍 고성동서로56번길 15,126.914579974,33.44996372,단백  서귀포시 성산읍 고성동서로56번길 15
14825,돈사빠,식육(숯불구이),2021-06-25,영업,제주특별자치도 서귀포시 대정읍 보성리 465-14,"제주특별자치도 서귀포시 대정읍 중산간서로 2405, 1층", 서귀포시 대정읍 보성리 465-14, 서귀포시 대정읍 중산간서로 2405,126.278020431,33.270992038,돈사빠  서귀포시 대정읍 중산간서로 2405
14826,더브런치컨셉(The brunch concept),경양식,2021-06-25,영업,제주특별자치도 서귀포시 상예동 3578-3,제주특별자치도 서귀포시 소보리당로 199 (상예동), 서귀포시 상예동 3578-3, 서귀포시 소보리당로 199 (상예동),126.383763603,33.261168558,더브런치컨셉(The brunch concept)  서귀포시 소보리당로 199 (상예동)
14827,올레정안회센타,일식,2021-05-13,영업,제주특별자치도 서귀포시 강정동 927-1,제주특별자치도 서귀포시 이어도로 793 (강정동), 서귀포시 강정동 927-1, 서귀포시 이어도로 793 (강정동),126.500087499,33.236680579,올레정안회센타  서귀포시 이어도로 793 (강정동)
14828,우수수,호프/통닭,2021-05-13,영업,제주특별자치도 서귀포시 대정읍 신도리 2069-2,"제주특별자치도 서귀포시 대정읍 비자낭로 21, 1층", 서귀포시 대정읍 신도리 2069-2, 서귀포시 대정읍 비자낭로 21,126.184006753,33.28571379,우수수  서귀포시 대정읍 비자낭로 21
14829,삼촌밀면국밥,분식,2021-05-13,영업,제주특별자치도 서귀포시 동홍동 497-1,"제주특별자치도 서귀포시 동홍중앙로52번길 36-4, 1층 (동홍동)", 서귀포시 동홍동 497-1, 서귀포시 동홍중앙로52번길 36-4,126.575726038,33.25512287,삼촌밀면국밥  서귀포시 동홍중앙로52번길 36-4
14830,미스사이공서귀포1호점,분식,2021-06-09,영업,제주특별자치도 서귀포시 서귀동 288-3,제주특별자치도 서귀포시 중앙로 76 (서귀동), 서귀포시 서귀동 288-3, 서귀포시 중앙로 76 (서귀동),126.561390798,33.251450228,미스사이공서귀포1호점  서귀포시 중앙로 76 (서귀동)
