store_name,business_category,permission_date,situation,address,address_road,new_store_name
미르반점,중국식,2021-09-03,영업,제주특별자치도 서귀포시 호근동 481-1,"제주특별자치도 서귀포시 태평로 107, 1층 (호근동)",미르반점  서귀포시 태평로 107
064바당,한식,2021-08-05,영업,제주특별자치도 서귀포시 표선면 성읍리 987-1,"제주특별자치도 서귀포시 표선면 성읍정의현로22번길 18, 9호",064바당  서귀포시 표선면 성읍정의현로22번길 18
중섭의집,한식,2021-08-05,영업,제주특별자치도 서귀포시 서귀동 413-3,제주특별자치도 서귀포시 명동로 26-1 (서귀동),중섭의집  서귀포시 명동로 26-1 (서귀동)
삼다미가,한식,2021-08-05,영업,제주특별자치도 서귀포시 법환동 282-1 법환헤븐빌딩,"제주특별자치도 서귀포시 막숙포로40번길 5, 법환헤븐빌딩 2층 (법환동)",삼다미가  서귀포시 막숙포로40번길 5
부두,분식,2021-09-14,영업,제주특별자치도 서귀포시 성산읍 성산리 361-6,"제주특별자치도 서귀포시 성산읍 성산등용로 82, 1층",부두  서귀포시 성산읍 성산등용로 82
원조남원포구식당,한식,2021-09-14,영업,제주특별자치도 서귀포시 남원읍 남원리 111-2,"제주특별자치도 서귀포시 남원읍 남원회관로 53, 1층",원조남원포구식당  서귀포시 남원읍 남원회관로 53
골드카페,호프/통닭,2021-09-14,영업,제주특별자치도 서귀포시 서귀동 320-9,"제주특별자치도 서귀포시 서문로29번길 20, 2층 (서귀동)",골드카페  서귀포시 서문로29번길 20
제주바릇,일식,2021-09-14,영업,제주특별자치도 서귀포시 서귀동 265-11,제주특별자치도 서귀포시 중앙로72번길 43 (서귀동),제주바릇  서귀포시 중앙로72번길 43 (서귀동)
달동네수제숨두부,한식,2021-09-09,영업,제주특별자치도 서귀포시 색달동 1868-3 아일랜드펜션,제주특별자치도 서귀포시 색달중앙로 79 (색달동),달동네수제숨두부  서귀포시 색달중앙로 79 (색달동)
할라우드퍼블릭하우스(Hallawood public house),경양식,2021-09-09,영업,제주특별자치도 서귀포시 서귀동 420-7,"제주특별자치도 서귀포시 명동로 11, 1층 (서귀동)",할라우드퍼블릭하우스(Hallawood public house)  서귀포시 명동로 11
제주한우리,"외국음식전문점(인도,태국등)",2021-09-09,영업,제주특별자치도 서귀포시 동홍동 110-5,"제주특별자치도 서귀포시 동홍서로96번길 6, 1층 (동홍동)",제주한우리  서귀포시 동홍서로96번길 6
늘솜,뷔페식,2021-09-09,영업,제주특별자치도 서귀포시 대정읍 안성리 214,"제주특별자치도 서귀포시 대정읍 일주서로 2093, 지하1층",늘솜  서귀포시 대정읍 일주서로 2093
